epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4366.04,2.06684,2.45394,1.69174,0.1788,0.14119,0.09648,0.03884,2.54154,2.64975,1.98442,0.000828443,0.000828443,0.000828443
43,4470.92,2.00989,2.41502,1.66572,0.24452,0.15077,0.10215,0.03494,2.61358,2.65564,2.01612,0.000820525,0.000820525,0.000820525
44,4574.94,2.03887,2.37291,1.66787,0.18659,0.15971,0.1184,0.05362,2.54277,2.61412,2.01951,0.000812468,0.000812468,0.000812468
45,4679.92,2.03059,2.36826,1.6714,0.25373,0.15526,0.11107,0.04747,2.6176,2.67532,2.03618,0.000804277,0.000804277,0.000804277
46,4784.66,2.02103,2.3791,1.66236,0.34295,0.14103,0.12608,0.04656,2.53451,2.52912,2.01677,0.000795954,0.000795954,0.000795954
47,4889.12,2.01924,2.35372,1.63928,0.23109,0.20295,0.12659,0.05123,2.53867,2.54066,1.98974,0.000787503,0.000787503,0.000787503
48,4993.53,1.97268,2.30135,1.62436,0.26814,0.20209,0.13664,0.04888,2.58547,2.56215,2.05191,0.000778929,0.000778929,0.000778929
49,5097.64,1.97438,2.27939,1.64196,0.30256,0.18337,0.16876,0.06504,2.5252,2.51307,2.00708,0.000770234,0.000770234,0.000770234
50,5202.54,1.97357,2.26778,1.63797,0.25222,0.16818,0.13351,0.05796,2.54067,2.52195,2.00402,0.000761423,0.000761423,0.000761423
51,5306.87,1.96019,2.2034,1.60643,0.26791,0.16499,0.1328,0.05155,2.568,2.54662,2.03235,0.0007525,0.0007525,0.0007525
52,5411.43,1.9231,2.17961,1.59084,0.34532,0.2105,0.17945,0.06885,2.54687,2.46835,2.01153,0.000743468,0.000743468,0.000743468
53,5516.19,1.95335,2.21303,1.61326,0.48424,0.14015,0.15163,0.05881,2.50503,2.49532,1.95217,0.000734332,0.000734332,0.000734332
54,5620.62,1.95426,2.16319,1.60665,0.33706,0.21247,0.17658,0.0687,2.54037,2.48348,2.00567,0.000725094,0.000725094,0.000725094
55,5725.76,1.93493,2.12284,1.60666,0.35797,0.20121,0.17066,0.06987,2.50018,2.41758,2.01334,0.000715761,0.000715761,0.000715761
56,5830.35,1.90123,2.10039,1.58428,0.27738,0.19594,0.16261,0.0617,2.51236,2.44076,1.96707,0.000706335,0.000706335,0.000706335
57,5935.28,1.85997,2.05011,1.56166,0.36713,0.2039,0.1971,0.07563,2.5144,2.44872,1.96417,0.00069682,0.00069682,0.00069682
58,6040.3,1.86584,2.05437,1.54078,0.39266,0.2228,0.20947,0.08546,2.49653,2.37228,1.95789,0.000687222,0.000687222,0.000687222
59,6145.27,1.86264,1.96371,1.55094,0.30271,0.21942,0.17863,0.07666,2.54882,2.46251,1.99521,0.000677543,0.000677543,0.000677543
60,6250.2,1.83278,1.96421,1.52991,0.31503,0.2489,0.18597,0.07482,2.46018,2.35367,1.97017,0.000667789,0.000667789,0.000667789
61,6355.08,1.83124,1.95173,1.53188,0.45182,0.17684,0.19181,0.07554,2.50136,2.38916,1.96621,0.000657963,0.000657963,0.000657963
62,6458.85,1.77723,1.93897,1.5073,0.39211,0.22339,0.21473,0.08496,2.49415,2.31322,2.00238,0.000648071,0.000648071,0.000648071
63,6562.45,1.84679,1.94932,1.53552,0.39689,0.22566,0.21306,0.0776,2.47134,2.33117,1.95583,0.000638115,0.000638115,0.000638115
64,6667.01,1.79748,1.88627,1.50621,0.28444,0.26027,0.19366,0.08212,2.46718,2.30842,1.9726,0.000628101,0.000628101,0.000628101
65,6771.77,1.79979,1.87168,1.51402,0.39775,0.23533,0.19834,0.07759,2.45316,2.29665,1.95336,0.000618034,0.000618034,0.000618034
66,6876.2,1.77002,1.86188,1.48435,0.32268,0.21345,0.18143,0.07283,2.47871,2.35657,1.94074,0.000607916,0.000607916,0.000607916
67,6979.6,1.77419,1.81092,1.49857,0.36748,0.23583,0.23739,0.09433,2.4762,2.27649,1.93615,0.000597754,0.000597754,0.000597754
68,7083.85,1.74093,1.81114,1.47625,0.37464,0.23347,0.22168,0.09799,2.43509,2.27951,1.94825,0.000587551,0.000587551,0.000587551
69,7187.81,1.72636,1.78814,1.46404,0.3172,0.25215,0.22117,0.09489,2.46238,2.23959,1.95867,0.000577311,0.000577311,0.000577311
70,7291.34,1.72982,1.73423,1.45785,0.35532,0.26088,0.21985,0.08354,2.4452,2.23572,1.94446,0.00056704,0.00056704,0.00056704
71,7394.46,1.72886,1.74903,1.46211,0.29132,0.24712,0.19824,0.09113,2.44091,2.2347,1.94322,0.000556742,0.000556742,0.000556742
72,7498.45,1.71651,1.73074,1.45164,0.33838,0.28648,0.24298,0.09745,2.42182,2.19735,1.89322,0.000546421,0.000546421,0.000546421
73,7602.68,1.72464,1.713,1.43005,0.33838,0.30478,0.23218,0.10297,2.3989,2.20344,1.89661,0.000536081,0.000536081,0.000536081
74,7706.8,1.69078,1.66926,1.43504,0.41699,0.29593,0.24702,0.10681,2.39765,2.18159,1.88805,0.000525728,0.000525728,0.000525728
75,7810.72,1.68405,1.65707,1.42453,0.42665,0.27279,0.24609,0.09984,2.40512,2.14939,1.89664,0.000515366,0.000515366,0.000515366
76,7914.79,1.65894,1.61865,1.40896,0.3285,0.31188,0.23491,0.10163,2.42067,2.17099,1.90819,0.000505,0.000505,0.000505
77,8018.51,1.6658,1.6292,1.42079,0.34311,0.30355,0.24634,0.11087,2.39812,2.12715,1.90429,0.000494634,0.000494634,0.000494634
78,8122.3,1.63248,1.58776,1.41353,0.34142,0.32879,0.26652,0.11301,2.39277,2.13019,1.88636,0.000484272,0.000484272,0.000484272
79,8225.89,1.63596,1.59917,1.40686,0.39773,0.26272,0.26197,0.11413,2.37993,2.12439,1.9021,0.000473919,0.000473919,0.000473919
80,8329.91,1.61425,1.55272,1.39677,0.33314,0.27129,0.24657,0.10744,2.39765,2.12189,1.90202,0.000463579,0.000463579,0.000463579
81,8433.91,1.60239,1.5128,1.37604,0.4057,0.31467,0.27279,0.11112,2.39266,2.12078,1.89455,0.000453258,0.000453258,0.000453258
82,8537.58,1.59901,1.52243,1.38486,0.42874,0.33478,0.28664,0.11847,2.36888,2.09404,1.88793,0.00044296,0.00044296,0.00044296
83,8641.45,1.61484,1.52448,1.38895,0.44246,0.29828,0.27788,0.11528,2.38202,2.07189,1.90067,0.000432689,0.000432689,0.000432689
84,8745.14,1.5774,1.49596,1.37119,0.46827,0.27693,0.28122,0.12866,2.37037,2.05909,1.87126,0.000422449,0.000422449,0.000422449
85,8849.37,1.59947,1.51422,1.37183,0.44313,0.31424,0.25222,0.1107,2.36456,2.06644,1.88701,0.000412246,0.000412246,0.000412246
86,8953.46,1.59722,1.50136,1.37874,0.41328,0.31811,0.2745,0.12368,2.34875,2.07165,1.87361,0.000402084,0.000402084,0.000402084
87,9057.32,1.5623,1.46299,1.36258,0.54579,0.26344,0.28695,0.12906,2.36353,2.10767,1.87046,0.000391966,0.000391966,0.000391966
88,9161.67,1.55997,1.43518,1.34528,0.57422,0.27031,0.29789,0.13451,2.34198,2.06453,1.84667,0.000381899,0.000381899,0.000381899
89,9266.23,1.58044,1.45975,1.36128,0.55704,0.3031,0.30928,0.14142,2.3284,2.04296,1.84789,0.000371885,0.000371885,0.000371885
90,9370.66,1.55775,1.42109,1.34321,0.50886,0.34782,0.31153,0.13289,2.34986,2.06171,1.85996,0.000361929,0.000361929,0.000361929
91,9474.97,1.53164,1.41132,1.33319,0.4807,0.3471,0.31839,0.14053,2.35178,2.05351,1.85007,0.000352037,0.000352037,0.000352037
92,9579.53,1.49497,1.37353,1.32543,0.44404,0.31335,0.28371,0.13201,2.35322,2.06331,1.85289,0.000342211,0.000342211,0.000342211
